Time,Heart Rate (BPM)
00:00,58
00:10,56
00:20,55
00:30,54
00:40,55
00:50,53
01:00,52
01:10,51
01:20,52
01:30,50
01:40,51
01:50,50
02:00,49
02:10,50
02:20,49
02:30,48
02:40,49
02:50,50
03:00,51
03:10,50
03:20,49
03:30,48
03:40,50
03:50,52
04:00,51
04:10,50
04:20,51
04:30,53
04:40,54
04:50,55
05:00,56
05:10,57
05:20,59
05:30,60
05:40,62
05:50,61
06:00,63
06:10,68
06:20,72
06:30,75
06:40,78
06:50,82
07:00,80
07:10,76
07:20,74
07:30,75
07:40,79
07:50,81
08:00,78
08:10,75
08:20,72
08:30,70
08:40,71
08:50,74
09:00,76
09:10,73
09:20,70
09:30,68
09:40,69
09:50,72
10:00,75
10:10,78
10:20,74
10:30,72
10:40,70
10:50,73
11:00,71
11:10,69
11:20,68
11:30,70
11:40,72
11:50,75
12:00,78
12:10,82
12:20,80
12:30,77
12:40,75
12:50,74
13:00,72
13:10,70
13:20,73
13:30,75
13:40,71
13:50,69
14:00,72
14:10,76
14:20,74
14:30,71
14:40,70
14:50,72
15:00,75
15:10,73
15:20,70
15:30,68
15:40,72
15:50,76
16:00,74
16:10,71
16:20,73
16:30,77
16:40,80
16:50,82
17:00,85
17:10,95
17:20,115
17:30,135
17:40,142
17:50,138
18:00,125
18:10,105
18:20,92
18:30,85
18:40,78
18:50,74
19:00,72
19:10,70
19:20,69
19:30,71
19:40,73
19:50,70
20:00,68
20:10,67
20:20,66
20:30,65
20:40,64
20:50,66
21:00,67
21:10,65
21:20,63
21:30,62
21:40,64
21:50,61
22:00,60
22:10,59
22:20,58
22:30,57
22:40,58
22:50,56
23:00,55
23:10,54
23:20,55
23:30,53
23:40,54
23:50,55
